time_ist,lat,lon,heading_deg,flow_sensor,flow_rate_ml_min,spray_motor_rpm,status
2026-07-09 11:20:00.000,13.0778508,77.8709737,0.0,0,0.00,0,takeoff
2026-07-09 11:20:01.000,13.0778800,77.8709820,15.6,0,0.00,0,transit
2026-07-09 11:20:02.000,13.0779084,77.8709887,12.8,0,0.00,0,transit
2026-07-09 11:20:03.000,13.0779408,77.8709965,13.2,0,0.00,0,transit
2026-07-09 11:20:04.000,13.0779675,77.8709973,1.7,230,2553.00,3057,spraying normal
2026-07-09 11:20:05.000,13.0779958,77.8709976,0.7,238,2642.00,3107,spraying normal
2026-07-09 11:20:06.000,13.0780204,77.8709953,354.8,243,2697.00,3008,spraying normal
2026-07-09 11:20:07.000,13.0780490,77.8709947,358.7,247,2742.00,2819,spraying normal
2026-07-09 11:20:08.000,13.0780772,77.8709970,4.7,246,2731.00,3076,spraying normal
2026-07-09 11:20:09.000,13.0781013,77.8709962,358.2,250,2775.00,2946,spraying normal
2026-07-09 11:20:10.000,13.0781312,77.8709980,3.3,250,2775.00,2976,spraying normal
2026-07-09 11:20:11.000,13.0781564,77.8709971,358.0,232,2575.00,3193,spraying normal
2026-07-09 11:20:12.000,13.0781818,77.8709966,359.0,244,2708.00,2968,spraying normal
2026-07-09 11:20:13.000,13.0782116,77.8709980,2.4,250,2775.00,2930,spraying normal
2026-07-09 11:20:14.000,13.0782358,77.8709943,351.5,241,2675.00,2918,spraying normal
2026-07-09 11:20:15.000,13.0782621,77.8709952,2.0,246,2731.00,2874,spraying normal
2026-07-09 11:20:16.000,13.0782891,77.8709976,5.0,233,2586.00,3043,spraying normal
2026-07-09 11:20:17.000,13.0783164,77.8709970,358.7,235,2608.00,2956,spraying normal
2026-07-09 11:20:18.000,13.0783421,77.8709967,359.5,238,2642.00,2903,spraying normal
2026-07-09 11:20:19.000,13.0783704,77.8709956,357.9,231,2564.00,3137,spraying normal
2026-07-09 11:20:20.000,13.0784000,77.8709971,2.7,239,2653.00,2913,spraying normal
2026-07-09 11:20:21.000,13.0784247,77.8709964,358.4,233,2586.00,2931,spraying normal
2026-07-09 11:20:22.000,13.0784517,77.8709963,359.8,246,2731.00,3145,spraying normal
2026-07-09 11:20:23.000,13.0784795,77.8709953,358.0,230,2553.00,3045,spraying normal
2026-07-09 11:20:24.000,13.0785069,77.8709968,3.1,230,2553.00,2937,spraying normal
2026-07-09 11:20:25.000,13.0785329,77.8709968,0.1,248,2753.00,2984,spraying normal
2026-07-09 11:20:26.000,13.0785601,77.8709970,0.4,233,2586.00,3147,spraying normal
2026-07-09 11:20:27.000,13.0785865,77.8709961,358.1,247,2742.00,3073,spraying normal
2026-07-09 11:20:28.000,13.0786123,77.8709972,2.3,243,2697.00,3161,spraying normal
2026-07-09 11:20:29.000,13.0786402,77.8709971,359.9,236,2620.00,2760,spraying normal
2026-07-09 11:20:30.000,13.0786685,77.8709986,2.9,233,2586.00,3093,spraying normal
2026-07-09 11:20:31.000,13.0786651,77.8710188,100.0,0,0.00,36,transit
2026-07-09 11:20:32.000,13.0786694,77.8710441,80.0,0,0.00,9,transit
2026-07-09 11:20:33.000,13.0786399,77.8710441,180.0,231,2564.00,3032,spraying normal
2026-07-09 11:20:34.000,13.0786155,77.8710426,183.3,249,2764.00,2930,spraying normal
2026-07-09 11:20:35.000,13.0785869,77.8710425,180.3,237,2631.00,3049,spraying normal
2026-07-09 11:20:36.000,13.0785606,77.8710415,182.1,233,2586.00,2906,spraying normal
2026-07-09 11:20:37.000,13.0785322,77.8710422,178.6,245,2720.00,3213,spraying normal
2026-07-09 11:20:38.000,13.0785065,77.8710423,179.6,235,2608.00,2930,spraying normal
2026-07-09 11:20:39.000,13.0784797,77.8710422,180.4,230,2553.00,2937,spraying normal
2026-07-09 11:20:40.000,13.0784532,77.8710434,177.4,236,2620.00,3113,spraying normal
2026-07-09 11:20:41.000,13.0784268,77.8710423,182.4,236,2620.00,2954,spraying normal
2026-07-09 11:20:42.000,13.0783981,77.8710436,177.3,231,2564.00,3023,spraying normal
2026-07-09 11:20:43.000,13.0783713,77.8710447,177.8,238,2642.00,3046,spraying normal
2026-07-09 11:20:44.000,13.0783471,77.8710437,182.3,240,2664.00,3080,spraying normal
2026-07-09 11:20:45.000,13.0783168,77.8710410,185.0,232,2575.00,3081,spraying normal
2026-07-09 11:20:46.000,13.0782915,77.8710419,177.9,241,2675.00,2780,spraying normal
2026-07-09 11:20:47.000,13.0782641,77.8710419,180.0,247,2742.00,3106,spraying normal
2026-07-09 11:20:48.000,13.0782371,77.8710415,180.8,244,2708.00,2941,spraying normal
2026-07-09 11:20:49.000,13.0782087,77.8710451,173.0,249,2764.00,3232,spraying normal
2026-07-09 11:20:50.000,13.0781829,77.8710426,185.3,234,2597.00,3005,spraying normal
2026-07-09 11:20:51.000,13.0781560,77.8710442,176.7,236,2620.00,3143,spraying normal
2026-07-09 11:20:52.000,13.0781289,77.8710434,181.6,240,2664.00,2962,spraying normal
2026-07-09 11:20:53.000,13.0781015,77.8710431,180.6,242,2686.00,2971,spraying normal
2026-07-09 11:20:54.000,13.0780764,77.8710420,182.5,238,2642.00,3106,spraying normal
2026-07-09 11:20:55.000,13.0780487,77.8710432,177.6,250,2775.00,2934,spraying normal
2026-07-09 11:20:56.000,13.0780208,77.8710422,181.9,246,2731.00,2978,spraying normal
2026-07-09 11:20:57.000,13.0779960,77.8710420,180.6,238,2642.00,3113,spraying normal
2026-07-09 11:20:58.000,13.0779680,77.8710437,176.7,250,2775.00,2994,spraying normal
2026-07-09 11:20:59.000,13.0779411,77.8710430,181.4,247,2742.00,2868,spraying normal
2026-07-09 11:21:00.000,13.0779428,77.8710657,85.6,0,0.00,21,transit
2026-07-09 11:21:01.000,13.0779408,77.8710889,95.1,0,0.00,25,transit
2026-07-09 11:21:02.000,13.0779679,77.8710889,360.0,242,2686.00,3171,spraying normal
2026-07-09 11:21:03.000,13.0779936,77.8710882,358.5,230,2553.00,3006,spraying normal
2026-07-09 11:21:04.000,13.0780205,77.8710883,0.2,243,2697.00,3163,spraying normal
2026-07-09 11:21:05.000,13.0780480,77.8710899,3.3,233,2586.00,2942,spraying normal
2026-07-09 11:21:06.000,13.0780730,77.8710878,355.3,238,2642.00,2998,spraying normal
2026-07-09 11:21:07.000,13.0781034,77.8710895,3.1,246,2731.00,3002,spraying normal
2026-07-09 11:21:08.000,13.0781304,77.8710886,358.1,233,2586.00,3002,spraying normal
2026-07-09 11:21:09.000,13.0781556,77.8710899,2.9,248,2753.00,2949,spraying normal
2026-07-09 11:21:10.000,13.0781824,77.8710891,358.4,230,2553.00,2989,spraying normal
2026-07-09 11:21:11.000,13.0782101,77.8710905,2.5,249,2764.00,2874,spraying normal
2026-07-09 11:21:12.000,13.0782366,77.8710906,0.3,247,2742.00,3070,spraying normal
2026-07-09 11:21:13.000,13.0782644,77.8710882,355.2,249,2764.00,3099,spraying normal
2026-07-09 11:21:14.000,13.0782899,77.8710913,6.8,244,2708.00,2891,spraying normal
2026-07-09 11:21:15.000,13.0783186,77.8710882,353.9,243,2697.00,3017,spraying normal
2026-07-09 11:21:16.000,13.0783459,77.8710887,1.0,248,2753.00,2856,spraying normal
2026-07-09 11:21:17.000,13.0783717,77.8710881,358.8,247,2742.00,2964,spraying normal
2026-07-09 11:21:18.000,13.0783987,77.8710894,2.7,238,2642.00,3084,spraying normal
2026-07-09 11:21:19.000,13.0784248,77.8710895,0.2,238,2642.00,3211,spraying normal
2026-07-09 11:21:20.000,13.0784533,77.8710880,357.1,232,2575.00,3019,spraying normal
2026-07-09 11:21:21.000,13.0784799,77.8710878,359.6,237,2631.00,2960,spraying normal
2026-07-09 11:21:22.000,13.0785060,77.8710899,4.3,245,2720.00,3086,spraying normal
2026-07-09 11:21:23.000,13.0785326,77.8710871,354.3,235,2608.00,2921,spraying normal
2026-07-09 11:21:24.000,13.0785598,77.8710915,8.8,241,2675.00,2899,spraying normal
2026-07-09 11:21:25.000,13.0785873,77.8710887,354.3,232,2575.00,2880,spraying normal
2026-07-09 11:21:26.000,13.0786139,77.8710880,358.7,241,2675.00,3022,spraying normal
2026-07-09 11:21:27.000,13.0786399,77.8710864,356.6,244,2708.00,3060,spraying normal
